Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Caballito,-34.6200773,-58.44248929999999,Rosatto,-34.62381873896008,-58.44082058382868,Restaurant
Caballito,-34.6200773,-58.44248929999999,Ferroni's,-34.619863675050404,-58.44014436006545,Argentinian Restaurant
Caballito,-34.6200773,-58.44248929999999,Las Medialunas del Abuelo,-34.620942,-58.438381,Bakery
Caballito,-34.6200773,-58.44248929999999,"Mercado Municipal ""Primera Junta""",-34.62027423102129,-58.44131112098694,Market
Caballito,-34.6200773,-58.44248929999999,El Greco,-34.62024624196422,-58.440856742796605,Café
Caballito,-34.6200773,-58.44248929999999,Plaza del Caballito,-34.61981200082565,-58.442876022891724,Plaza
Caballito,-34.6200773,-58.44248929999999,Hausbrot,-34.62029827171157,-58.44088257426104,Bakery
Caballito,-34.6200773,-58.44248929999999,Centro Geográfico de la Ciudad de Buenos Aires,-34.616943431017944,-58.444710811696304,Historic Site
Caballito,-34.6200773,-58.44248929999999,Cinépolis Caballito,-34.61837594446456,-58.437472879886634,Multiplex
Caballito,-34.6200773,-58.44248929999999,Frávega,-34.61955574835432,-58.43928472872928,Electronics Store
Caballito,-34.6200773,-58.44248929999999,Estadio Arquitecto Ricardo Etcheverri (Ferro),-34.618606,-58.447637,Soccer Stadium
Caballito,-34.6200773,-58.44248929999999,Cúspide,-34.61861536986546,-58.437351133284835,Bookstore
Caballito,-34.6200773,-58.44248929999999,Balcarce,-34.62134254994312,-58.44260394573211,Café
Caballito,-34.6200773,-58.44248929999999,El Caprichoso De La Pizza,-34.616263214480895,-58.44036174206855,Pizza Place
Caballito,-34.6200773,-58.44248929999999,Acapulco Cantina,-34.61588661831224,-58.44344090170166,Argentinian Restaurant
Caballito,-34.6200773,-58.44248929999999,La Sede Gym,-34.6167952866277,-58.43881928685186,Gym
Caballito,-34.6200773,-58.44248929999999,Farmacity,-34.61741972249915,-58.445597296547916,Pharmacy
Caballito,-34.6200773,-58.44248929999999,Mostaza,-34.618152,-58.43757,Fast Food Restaurant
Caballito,-34.6200773,-58.44248929999999,Brioche Dorée,-34.61866800132738,-58.43729792779853,French Restaurant
Caballito,-34.6200773,-58.44248929999999,Burger King,-34.61867811141442,-58.43731798617135,Fast Food Restaurant
Caballito,-34.6200773,-58.44248929999999,McDonald's,-34.61897558627863,-58.43808502899741,Fast Food Restaurant
Caballito,-34.6200773,-58.44248929999999,Prüne,-34.618927657451955,-58.438061206029076,Accessories Store
Caballito,-34.6200773,-58.44248929999999,Carrefour Express,-34.617678,-58.438317,Convenience Store
Villa Santa Rita,-34.6160781,-58.4827416,Papeete,-34.614375105445134,-58.481911702620984,Ice Cream Shop
Villa Santa Rita,-34.6160781,-58.4827416,Body Maniac Gym,-34.616449873631176,-58.47747689207675,Gym
Villa Santa Rita,-34.6160781,-58.4827416,Club Imperio Juniors,-34.61520317620538,-58.48035976534599,Sports Club
Villa Santa Rita,-34.6160781,-58.4827416,Supermecado Dia Nazca 1663,-34.61498540835935,-58.47872257232665,Shop & Service
Villa Santa Rita,-34.6160781,-58.4827416,Ciro Bar,-34.61326359872145,-58.47976863384246,Café
Villa Santa Rita,-34.6160781,-58.4827416,A Raja Cincha,-34.618536638317764,-58.481272011995316,BBQ Joint
Villa Santa Rita,-34.6160781,-58.4827416,1980,-34.618352,-58.481198,Pizza Place
Villa Santa Rita,-34.6160781,-58.4827416,Te Paso El Trapo,-34.61457352574423,-58.479841183058426,Home Service
Villa Santa Rita,-34.6160781,-58.4827416,Parque Rivera Sur,-34.613233928277864,-58.48257352471123,Park
Villa Santa Rita,-34.6160781,-58.4827416,Parada Línea 110,-34.61332812602289,-58.48041552702195,Bus Stop
Villa Santa Rita,-34.6160781,-58.4827416,innobar,-34.61653087887253,-58.47751595583249,Bar
Monte Castro,-34.6188385,-58.50594649999999,Café Martínez,-34.61891695610407,-58.504046046417,Café
Monte Castro,-34.6188385,-58.50594649999999,Parrilla Tercer Tiempo,-34.61982074406146,-58.508683750440106,Argentinian Restaurant
Monte Castro,-34.6188385,-58.50594649999999,Pizzería San Pedro,-34.62084504131833,-58.50766089780374,Pizza Place
Monte Castro,-34.6188385,-58.50594649999999,Palmi,-34.61914162661437,-58.50462980704235,Ice Cream Shop
Monte Castro,-34.6188385,-58.50594649999999,The Coffee Store,-34.61797,-58.502644,Coffee Shop
Monte Castro,-34.6188385,-58.50594649999999,Madrilia (Resto-Cafe),-34.61930863261168,-58.50475502678725,Café
Monte Castro,-34.6188385,-58.50594649999999,BAMI Marc Chagall,-34.621073072363494,-58.50606375148787,School
Villa Real,-34.618943200000004,-58.5258765,FarmaPlus,-34.61490541674577,-58.526244747417564,Pharmacy
Villa Real,-34.618943200000004,-58.5258765,Las Cabanas,-34.6158613280467,-58.52266277751648,Bakery
Villa Real,-34.618943200000004,-58.5258765,Real Gym,-34.620712244600824,-58.525575152002766,Gym
Villa Real,-34.618943200000004,-58.5258765,Club Villa Real,-34.62055588819888,-58.52572526068052,Athletics & Sports
Villa Real,-34.618943200000004,-58.5258765,Museo del Automóvil,-34.62072451587987,-58.526358604431145,History Museum
Villa Real,-34.618943200000004,-58.5258765,Parada 108,-34.62127077589899,-58.525853563209445,Bus Station
Villa Real,-34.618943200000004,-58.5258765,Plaza Villa Real,-34.62067978398854,-58.52843637929026,Plaza
Villa Real,-34.618943200000004,-58.5258765,Villa Real Tenis,-34.62180165798207,-58.527292013168335,Tennis Court
Villa Real,-34.618943200000004,-58.5258765,GQG Padel,-34.62237033407062,-58.52410754540221,Tennis Court
Villa Real,-34.618943200000004,-58.5258765,"Parada Líneas 28, 80, 85 y 146",-34.61507913804458,-58.52601480492297,Bus Stop
Villa Real,-34.618943200000004,-58.5258765,Parada 109,-34.621958972073784,-58.52239502329677,Bus Stop
Villa Real,-34.618943200000004,-58.5258765,Cruce Av. General Paz y Av. Francisco Beiró,-34.61805808758816,-58.53088617324829,Intersection
Villa Real,-34.618943200000004,-58.5258765,Asociación Mutual Eslovena Triglav,-34.62197356132246,-58.52950187752246,Sports Club
Flores,-34.6282028,-58.4622184,La Rana,-34.629200010321206,-58.45930337905884,Fish Market
Flores,-34.6282028,-58.4622184,Reggina - Ristorante & Casa de Té,-34.62914672891108,-58.46266238030855,Dessert Shop
Flores,-34.6282028,-58.4622184,El Podio,-34.62993413793237,-58.459014795239305,Ice Cream Shop
Flores,-34.6282028,-58.4622184,Farmacity,-34.62877100063965,-58.46248397073564,Pharmacy
Flores,-34.6282028,-58.4622184,Bonafide,-34.629710230366996,-58.465527661439125,Café
Flores,-34.6282028,-58.4622184,Kentucky,-34.62939115222697,-58.464145605661855,Pizza Place
Flores,-34.6282028,-58.4622184,Havanna,-34.62771643279503,-58.4593840268113,Café
Flores,-34.6282028,-58.4622184,Galería San José de Flores,-34.62980899373779,-58.461348583683204,Shopping Plaza
Flores,-34.6282028,-58.4622184,Espacio Cultural Marcó del Pont,-34.62742798572991,-58.465090554666126,Cultural Center
Flores,-34.6282028,-58.4622184,Freddo,-34.62784487221995,-58.45979690551758,Ice Cream Shop
Flores,-34.6282028,-58.4622184,San José Pizzería,-34.628947337426276,-58.462684781119506,Pizza Place
Flores,-34.6282028,-58.4622184,Integrados Argentinos,-34.62590646022527,-58.4657049885312,Electronics Store
Flores,-34.6282028,-58.4622184,La Palma de Flores,-34.63064583802333,-58.463528023066374,Bakery
Flores,-34.6282028,-58.4622184,parrilla jazmin,-34.62414298411194,-58.4606441377302,BBQ Joint
Flores,-34.6282028,-58.4622184,Laboratorio Biomédico Dr. Rapela,-34.63063705417475,-58.463917974497015,Pharmacy
Flores,-34.6282028,-58.4622184,Tizio Helados & Café,-34.62867889521722,-58.462355738949846,Ice Cream Shop
Flores,-34.6282028,-58.4622184,Fábrica De Pastas San José,-34.62849742890072,-58.45941759885599,Noodle House
Flores,-34.6282028,-58.4622184,Casa Do Café,-34.62909705575372,-58.46093962406045,Café
Flores,-34.6282028,-58.4622184,Yenny,-34.62733428537482,-58.45839912548538,Bookstore
Flores,-34.6282028,-58.4622184,Fiamma,-34.626986371181914,-58.45790156722078,Café
Flores,-34.6282028,-58.4622184,Sofía,-34.629274132287826,-58.46250069658066,Restaurant
Flores,-34.6282028,-58.4622184,Garbarino,-34.62752263742715,-58.458251953125,Electronics Store
Flores,-34.6282028,-58.4622184,Cuesta Blanca,-34.62742522683793,-58.45865380629095,Women's Store
Flores,-34.6282028,-58.4622184,Disco,-34.6282835616966,-58.45854689545598,Supermarket
Flores,-34.6282028,-58.4622184,Paso a Nivel Fray Cayetano Rodríguez,-34.62703266157684,-58.46339643001557,Intersection
Flores,-34.6282028,-58.4622184,+vision,-34.62790264761177,-58.45970193169711,Pharmacy
Flores,-34.6282028,-58.4622184,Pizza Show,-34.626381840777114,-58.45954582730471,Pizza Place
Flores,-34.6282028,-58.4622184,Faricci Helados & Café,-34.62988860621704,-58.45782279968262,Ice Cream Shop
Flores,-34.6282028,-58.4622184,Lautaro Café,-34.62805128928496,-58.457318575370756,Gastropub
Flores,-34.6282028,-58.4622184,Aruba Tenis,-34.62559965388369,-58.46643134846585,Tennis Court
